date,open,high,low,close,volumn,amount,post_close
2007-5-23,2887.64,2895.5879999999997,2862.583,2869.5559999999996,6158473,8199711744,2896.225
2007-5-24,2927.485,2948.0190000000002,2921.08,2947.988,8269664,11106265088,2916.486
2007-5-25,2894.703,2927.955,2881.495,2926.579,6249798,8549157888,2930.653
2007-5-28,2976.756,2991.5029999999997,2969.4359999999997,2981.305,8500328,12210001920,3001.2659999999996
2007-5-29,3009.441,3030.34,3006.0359999999996,3024.752,8576521,11118730240,3014.49
2007-5-30,2875.79,3000.868,2875.79,2996.8909999999996,13935720,20694618112,2868.756
2007-5-31,2838.097,2896.33,2761.6059999999998,2761.6059999999998,11433459,16781174784,2864.3320000000003
2007-6-1,2963.468,3017.127,2963.468,3017.052,9333043,14889795584,3042.7490000000003
2007-6-4,2923.4109999999996,2935.804,2807.692,2826.3459999999995,9004426,12488736768,2818.123
2007-6-5,2638.421,2724.0,2630.802,2679.563,7163734,8685437952,2554.2870000000003
2007-6-6,2788.9709999999995,2796.965,2713.248,2789.29,7968839,10855388160,2799.552
2007-6-7,2797.2309999999998,2818.112,2786.7729999999997,2813.435,5220946,7169306112,2820.877
2007-6-8,2861.813,2861.813,2830.6009999999997,2847.6259999999997,5571329,7858483712,2849.204
2007-6-11,2875.1059999999998,2886.3790000000004,2857.3059999999996,2858.5679999999998,6009006,8714300416,2891.1040000000003
2007-6-12,2930.428,2940.8559999999998,2918.946,2931.3,6197073,8788265984,2903.699
2007-6-13,3007.651,3037.611,3001.553,3030.5809999999997,9801864,13181677568,3044.06
2007-6-14,3036.3459999999995,3037.647,2983.278,3037.647,6437864,9184043008,3027.5679999999998
2007-6-15,2984.268,3034.958,2975.165,3034.958,4037412,6500071424,3001.495
2007-6-18,3090.167,3125.577,3088.245,3120.312,8297757,11963102208,3146.02
2007-6-19,3123.886,3150.5,3102.0009999999997,3146.402,7363282,10635546624,3127.103
2007-6-20,3133.3070000000002,3139.9959999999996,3110.202,3116.284,4663113,6918859264,3144.2709999999997
2007-6-21,3048.3740000000003,3103.761,3048.3740000000003,3095.136,4182599,6987706368,3114.0170000000003
2007-6-22,3114.8190000000004,3127.348,3100.216,3120.7509999999997,3671471,6337351680,3103.78
2007-6-25,3054.281,3080.758,2983.308,2999.87,5123638,7984413696,3068.8959999999997
2007-6-26,2892.034,2924.43,2861.26,2890.264,4729155,6939224576,2894.607
2007-6-27,2977.1940000000004,2996.788,2957.555,2993.091,4115435,5969012736,2999.573
2007-6-28,3063.236,3093.237,3042.6290000000004,3093.237,5031700,6621957632,3082.744
2007-6-29,2904.355,2977.3540000000003,2891.13,2961.406,4623105,6180100608,2942.1609999999996
2007-7-2,2906.138,2941.215,2895.5040000000004,2904.6440000000002,3705262,4753982464,2900.968
2007-7-3,2922.099,2945.167,2916.235,2918.965,3789176,4568447488,2925.6440000000002
2007-7-4,2961.384,2965.362,2936.045,2941.8140000000003,2440219,3645223168,2925.0190000000002
2007-7-5,2843.688,2859.9559999999997,2820.67,2828.616,2677709,3358861824,2809.995
2007-7-6,2733.688,2797.1020000000003,2733.688,2789.655,2958884,3776506880,2714.7309999999998
2007-7-9,2883.538,2889.26,2859.219,2865.7659999999996,3361875,4565932544,2914.6859999999997
2007-7-10,2957.0640000000003,2965.445,2935.388,2940.531,5273156,6522063360,2953.4309999999996
2007-7-11,2920.737,2944.906,2901.46,2927.922,3119854,3711969024,2903.145
2007-7-12,2945.137,2952.4190000000003,2932.5840000000003,2939.313,1945425,2571537152,2959.776
2007-7-13,2976.5359999999996,2980.1459999999997,2953.705,2957.1809999999996,2246214,2793935872,2965.448
2007-7-16,2974.922,2980.5959999999995,2947.8940000000002,2949.631,1580732,2025596160,2933.95
2007-7-17,2872.812,2886.7329999999997,2847.664,2862.3509999999997,2079109,2933219840,2901.962
2007-7-18,2944.071,2976.4509999999996,2933.127,2968.6440000000002,3400557,4555116544,3002.534
